Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Planet_Radius,Planet_Mass,Tday,Temp_equilibrium,log10g_p,Period,Transit_Duration,K_mag,Distance,Temp_stellar_eff,log10g_s,Transit_Flag,Catalog_Name
55 Cnc e,0.343,0.124,0.314,0.19,0.026367,2326.0,1956.0,3.235,0.7365,1.6416,4.0,12.34,5196.0,4.45,True,exoplanets.org
KOI 2882.01,0.0,0.0,0.008,0.24,0.023332,365.0,307.0,2.992,75.858,5.382,13.0,,4474.0,4.67,True,exoplanets.org
CoRoT-10 b,0.0,0.013,0.007,0.97,2.75536,796.0,669.0,3.858,13.2406,2.98,11.8,344.95,5075.0,4.65,True,exoplanets.org
CoRoT-11 b,0.159,0.094,0.027,1.43,2.34813,2057.0,1730.0,3.458,2.9943,2.5008,11.2,558.97,6440.0,4.22,True,exoplanets.org
CoRoT-12 b,0.043,0.041,0.031,1.44,0.91918,1714.0,1441.0,3.046,2.828,2.5742,13.6,1150.0,5675.0,4.375,True,exoplanets.org
CoRoT-13 b,0.01,0.016,0.007,0.89,1.31099,1514.0,1273.0,3.612,4.0352,3.14,13.4,1310.62,5945.0,4.3,True,exoplanets.org
CoRoT-14 b,0.057,0.024,0.001,1.09,7.69464,2318.0,1949.0,4.208,1.5121,1.662,13.8,1340.0,6035.0,4.35,True,exoplanets.org
CoRoT-16 b,0.011,0.021,0.027,1.17,0.537982,1420.0,1194.0,2.991,5.3523,2.39,12.8,840.0,5650.0,4.36,True,exoplanets.org
CoRoT-17 b,0.038,0.029,0.005,1.02,2.46001,1844.0,1551.0,3.813,3.7681,4.72,12.5,920.0,5740.0,4.4,True,exoplanets.org
CoRoT-18 b,0.081,0.062,0.01,1.31,3.48652,1813.0,1524.0,3.707,1.9001,2.387,13.0,870.0,5440.0,4.4,True,exoplanets.org
CoRoT-19 b,0.085,0.054,0.028,1.29,1.10792,1971.0,1658.0,3.239,3.8971,4.7,11.8,770.0,6090.0,4.07,True,exoplanets.org
CoRoT-1 b,0.308,0.134,0.078,1.49,1.02979,2257.0,1898.0,3.057,1.509,2.5109,12.1,,5950.0,4.25,True,exoplanets.org
CoRoT-20 b,0.001,0.009,0.002,0.84,4.24,1133.0,953.0,4.18,9.2429,2.2248,12.5,1230.0,5880.0,4.2,True,exoplanets.org
CoRoT-22 b,0.001,0.004,0.035,0.45,0.0383,1194.0,1004.0,2.738,9.756,4.488,12.0,592.0,5939.0,4.361,True,exoplanets.org
CoRoT-23 b,0.043,0.028,0.004,1.05,3.0853,1950.0,1640.0,3.841,3.6313,3.888,12.4,599.99,5900.0,4.3,True,exoplanets.org
CoRoT-25 b,0.011,0.016,0.036,1.08,0.27,1570.0,1320.0,2.835,4.8607,1.92,12.8,1000.0,6040.0,4.28,True,exoplanets.org
CoRoT-26 b,0.035,0.025,0.028,1.26,0.479479,1870.0,1573.0,2.883,4.2047,5.47,13.3,1670.0,5590.0,4.1,True,exoplanets.org
CoRoT-27 b,0.022,0.026,0.001,1.01,10.3882,1626.0,1367.0,4.378,3.5753,2.77,13.0,,5900.0,4.4,True,exoplanets.org
CoRoT-28 b,0.031,0.034,0.03,0.95,0.484,1620.0,1362.0,3.121,5.2085,5.7,11.0,560.0,5150.0,3.94,True,exoplanets.org
CoRoT-29 b,0.012,0.022,0.012,0.9,0.85,1448.0,1218.0,3.417,2.8506,2.088,13.0,765.0,5260.0,4.3,True,exoplanets.org
CoRoT-2 b,0.408,0.315,0.061,1.47,3.27527,1826.0,1535.0,3.585,1.743,2.267,10.3,,5625.0,,True,exoplanets.org
CoRoT-3 b,0.052,0.034,0.001,1.01,21.8549,2013.0,1693.0,4.73,4.2568,3.765,11.6,833.33,6740.0,4.23,True,exoplanets.org
CoRoT-4 b,0.008,0.028,0.037,1.19,0.717419,1276.0,1073.0,3.099,9.202,4.6714,12.3,,6190.0,4.41,True,exoplanets.org
CoRoT-5 b,0.05,0.051,0.082,1.39,0.462537,1708.0,1436.0,2.772,4.0379,2.8475,12.5,,6100.0,4.19,True,exoplanets.org
CoRoT-6 b,0.007,0.032,0.01,1.17,2.95364,1208.0,1016.0,3.733,8.8866,4.079,12.1,,6090.0,4.44,True,exoplanets.org
CoRoT-7 b,0.01,0.004,0.019,0.14,0.014,2150.0,1808.0,3.143,0.8536,1.125,9.8,149.93,5275.0,4.5,True,exoplanets.org
CoRoT-8 b,0.001,0.011,0.027,0.57,0.216078,1014.0,853.0,3.231,6.2123,2.74,11.5,380.23,5080.0,4.58,True,exoplanets.org
CoRoT-9 b,0.0,0.002,0.022,1.05,0.843564,490.0,412.0,3.278,95.2738,8.08,11.7,459.98,5625.0,4.54,True,exoplanets.org
GJ 1214 b,0.0,0.023,0.362,0.24,0.020351,665.0,559.0,2.95,1.5804,0.8788,8.8,12.95,3026.0,4.991,True,exoplanets.org
GJ 3470 b,0.001,0.031,0.275,0.37,0.044009,775.0,652.0,2.904,3.3366,1.9176,8.0,,3600.0,,True,exoplanets.org
